Elevation,r,R²,Adjusted R²,Slope,Intercept,p
<1500 m,-0.144,0.021,-0.175,-1.35,16.0,0.758
1500–2000 m,0.014,0.0,-0.2,0.59,186.0,0.977
2000–3000 m,-0.218,0.047,-0.143,-13.16,1183.2,0.639
>3000 m,-0.662,0.438,0.325,-1.23,84.5,0.106
