Elevation,r,R²,Adjusted R²,Slope,Intercept,p
<1500 m,-0.586,0.343,0.212,-0.13,24.3,0.167
1500–2000 m,-0.235,0.055,-0.134,-0.15,36.1,0.612
2000–3000 m,0.179,0.032,-0.162,0.07,-4.2,0.701
>3000 m,0.212,0.045,-0.146,0.0,0.2,0.648
