Elevation,r,R²,Adjusted R²,Slope,Intercept,p
<1500 m,-0.745,0.555,0.466,-2.7,-1.7,0.055
1500–2000 m,-0.382,0.146,-0.025,-3.9,3.3,0.397
2000–3000 m,0.113,0.013,-0.185,0.72,6.8,0.809
>3000 m,0.084,0.007,-0.192,0.02,0.2,0.858
